DA10102	VI SORBITS
DFE0049	UNICLAV 156.25MG/5ML SUSPENSION
DFE0050	UNICLAV 375MG TABLET
DFE0051	UNICLAV 625MG TABLET
DFE0052	CEFERO 125MG TABLET
DFE0053	CEFERO 250MG TABLET
DFE0054	CEFERO 500MG TABLET
DFE0055	CLOVISAN 200MG TABLET
DFE0056	CLOVISAN 800MG TABLET
DFE0057	WORMIN SUSPENSION
DFE0058	KLAMOKS 625MG TABLET
DFE0059	KLAMOKS 1000MG TABLET
DFE0060	FUNGIZAP 100MG CAPSULE
DFE0061	TRIDOSIL 250MG TABLET
DFE0062	TRIDOSIL 500MG TABLET
DFE0063	KILBAC 250MG TABLET
DFE0064	FLUGEN 150MG CAPSULE
DFE0065	CLINAGEN 150MG CAPSULE
DFE0066	CLINAGEN 300MG CAPSULE
DFE0067	ITRAGEN 100MG CAPSULE
DFE0068	PHYLOGEN 500MG CAPSULE
DFE0069	AZIGEN 500MG TABLET
DG10401	GAVISCON TABLETS DA
DG11001	BUSCOPAN ` ZYCOPAN 10MG
DG11003	HYOSCINE BUTYLBROMIDE TABLETS
DG11007	BIFILAC CAPSULE
DG11101	THREEPALA
DG11104	SWASTHA THRIPHALA TABLETS 30
DG11107	SWASTHA THRIPHALA-60
DG11108	SWASTHA THRIPHALA-120
DG11401	DIGENE TABLETS CARD
DG11403	AIR-X TABLET
DG11405	BELCID TABLETS
DG11504	VOMVIN SUPPOS. 30MG
DG11701	DUSPATALIN TABLETS 135MG
DG11703	DUSPATALIN RETARD 200MG.TABS.
DG11705	COLOSPAS
DG11707	MESACOL 400MG
DG11711	IBSOL 1.2G
DG12005	METOCLOPRAMIDE 10MG.TABLETS
DG12101	MOTILIUM
DG12301	DOMPERON TABLETS
DG12302	D-PERON 10MG TABLET
DG12307	DOMETIC 10MG TABLET
DG12605	NEXIUM 20MG.CAPSULES
DG12606	NEXIUM 40MG TABLETS.
DG12607	ESOME 20
DG12608	ESOME 40
DG12611	ESPRA 20MG CAPSULE
DG12614	ESPRA 40MG
DG12617	ESOMAC 40MG
DG12618	ESOMAC 20MG
DG12619	ES-LOPROT 40MG CAPSULE
DG12620	ESOMEPRAZOLE 20MG
DG12621	ESOMEPRAZOLE 40MG
DG12821	ACILOC 150MG TABLETS TABS
DG13102	LOPERAMIDE 2MG
DG13801	DAFLON 500MG
DG14202	ZYCOLAX SUPPOS. ADULT 10MG
DG14203	ZYCOLAX SUPPOS. 5MG
DG14905	MOSID MT 5
DG17301	FAMOCID 20MG TABLET
DG17302	FAMOCID 40MG TABLET
DG17303	FAMOTIDINE 20MG. TAB.-SPC
DG17304	FAMOTIDINE 40MG.TAB.-SPC
DG17601	PANTODAC 20MG. TABLETS
DG17602	PANTODAC 40MG. TABLETS.
DG17603	PANTOCID 20MG. TABLETS
DG17604	PANTOCID 40MG.TABLETS
DG17607	PANTOR 40
DG17609	PANUM 40MG
DG17610	PANTOPRAZOLE 20MG
DG17611	PANTOPRAZOLE 40MG
DG17702	OMEZ 20MG TABLET
DG17705	OMEPRAZOLE 20MG.(SPC)
DG17711	LOMAC 20MG. CAPSULES
DG17716	RABELOC 20MG TABLETS
DG17717	NEXPRO 20MG.TABLETS
DG17718	NEXPRO 40MG. TABLETS
DG17727	HAPPI TABLETS 20MG.
DG17734	RABEPRAZOLE 20MG
DG20201	MORISON'S GRIPE MIXTURE
DG20202	MORISON'S GRIPE MIXTURE
DG20401	GAVISCON LIQUID
DG20403	GAVISCON LIQUID DA
DG22301	BARAKA BLACK SEED OIL
DG22308	PANCHA BALA PANAYA
DG24001	DUPHALAC SYRUP
DG24002	LACTULOSE SOLUTION
DG25070	BELCID SUSPENSION 240ML
DG25073	GASTRIL SUSPENSION
DG25206	DOMPERON SUSPENSION 
DG25211	DOMETIC SYRUP 5MG/5ML
DG25503	PEDIRTAL LIQUID (ORANGE)
DG40104	KLEAN PREP SACHETS.
DG41601	JEEVANEE 1000ML SACHET
DG41602	JEEVANEE ORANGE 200ML SACHET
DG41603	JEEVANEE ORANGE 1000ML SACHET
DG41801	FYBOGEL
DG41803	ENO SACHETS 5G
DG41804	ENO SACHETS 5'S *
DG41806	ENO SACHETS - LEMON
DG42001	BIFILAC GRANULES SACHETS
DG44501	PEDITRAL ORA/LEM 1000ML SACHET
DG60102	KLEEN ENEMA.
DGE0003	VOMVIN SUPPOS. 10MG
DGE0007	AYUR LEAN 50S
DGE0013	EZIUM 20MG CAPSULE
DGE0014	EZIUM 40MG CAPSULE
DGE0020	COOL GEL SUSPENSION 
DGE0021	VOMIKIND MD 4MG
DGE0022	SUCRAFIL SUSPENSION
DGE0024	RILLUS CHEWABLE TABLET
DGE0025	EMESET 4MG
DGE0026	EUROPYL-KIT
DGE0033	ACIFREE SUSPENSION
DGE0034	CASTOR OIL
DGE0035	RHEOCURE-HC
DGE0036	LILAC SOLUTION
DGE0037	INFANT COLEZE
DGE0038	LACTU SOLUTION
DGE0039	JEEWAKA AMLA PITTA SUWAYA
DGE0040	DELAX 5MG TABLET
DGE0043	OEM SACHETS
DGE0046	INOLAC
DGE0047	ESONIX 20MG
DGE0048	ESONIX 40MG
DGE0049	LAXAFRED 5MG TABLET
DGE0050	GINIRAJA ASAMODAGAM SPIRIT
DGE0051	PANCHA JEEWA HEMORRHOID OIL - R' PURA
DGE0052	DEFLUX 10MG TABLET
DGE0053	ES-LOPROT 20MG CAPSULE
DGE0056	ARYU NATURAL ASAMODAGAM SPIRIT
DGE0057	PANTAPREZ 20MG CAPSULE
DGE0058	PANTAPREZ 40MG CAPSULE
DGE0059	D-PERON SUSPENSION 
DGE0060	SB CASTOR OIL
DGE0061	SPMC DOMPERIDONE 10MG TABLET
DGE0062	SPMC FAMOTIDINE 20MG TABLET
DGE0063	GENOCID 20MG TABLET
DGE0064	GENOCID 40MG TABLET
DGE0065	SPMC OMEPRAZOLE 20MG TABLET
DGE0066	PAN 20MG TABLET
DGE0067	PAN 40MG TABLET
DGE0068	FYBOHUSK SACHET
DGE0069	MINERVA 21.5G (ORANGE) 1000ML SACHET
DGE0070	LOPEX 2MG TABLET
DGE0072	SIDDHALEPA NATURAL ASAMODAGAM
DGE0073	RENADIUM 600MG TABLET
DGE0074	LOPMED 2MG CAPSULE
DGE0075	OMEROC 20MG CAPSULE
DGE0076	LABOTINE 20MG TABLET
DGE0077	A/N TRIPHALA ORG. CAPSULE 60S
DGE0078	DEGUT 10MG TABLET
DGE0079	PANUM 40MG TABLET (10S)
DGE0080	GASOGEN SUSPENTION
DGE0081	PENTAC 150MG TABLET
DGE0082	GARSY HERBAL CANDY MONTHLY PACK
DGE0083	SITCOM 100MG TABLET
DGE0084	DOMPI SUSPENSION
DGE0085	MOVICOL SACHETS
DJ10102	VOLTAREN SUPPOS. 25MG.
DJ10103	VOLTAREN SUPPOS. 50MG.
DJ10202	BRUFEN TABLETS 400MG
DJ10208	IBUPROFEN 400MG
DJ10402	VOLTAREN TABLETS 50MG
DJ10404	CATAFLAM 50MG TABLETS
DJ10405	VOLTAREN SR 75MG TAB
DJ10406	DICLORON 75 SR
DJ10810	ZYCEL 100MG. TABLETS.
DJ10811	ZYCEL 200MG. TABLETS
DJ10814	CELOX R 100MG CAPSULE
DJ10815	CELOX R 200MG CAPSULE
DJ10828	NUCOXIA 60
DJ10829	NUCOXIA 90
DJ10830	NUCOXIA 120
DJ10833	COX B-100MG CAPSULE
DJ10834	COX B-200MG CAPSULE
DJ10835	XIBRA 60
DJ10836	XIBRA 90
DJ10837	XIBRA 120
DJ11205	MUVERA 15MG. TABLETS
DJ12103	ARNIL 50MG. TABLETS
DJ12206	SUBSYDE-CR 100MG CAPSULE
DJ12701	DICLORAN TABLETS 50MG(UNI
DJ12705	DICLOFENAC SODIUM 50MG.TABLETS
DJ12710	ROLAC 10MG TABLET
DJ12714	ACECLOFENAC 100MG
DJ13001	ALLOPURINOL TABLETS
DJ13101	DIVOLTAR 50MG
DJ13105	MAXIT 50MG TABLETS
DJ13106	KLODIC 50MG
DJ13107	DICLOFENAC POTASIUM 50MG
DJ13204	NEOPROX 250MG TABLET
DJ13205	NABUFLAM 500MG TABLET
DJ13904	MEFEN 500MG
DJ13906	MEFTAL 500MG.TABLETS
DJ13907	MEFTAL - P 100MG.TABLETS
DJ18001	ROLITEN 1MG
DJ20101	BRUFEN JUNIOR SYRUP
DJ20105	MEFEN SUSPENSION
DJ30302	DICLORAN GEL.1 %
DJ30305	FASTUM GEL 30G
DJ30306	DICLORAN GEL
DJ30308	JONAC GEL 30G
DJ30310	SANBEFLAM GEL 2.5%
DJ30345	ADIFLAM GEL
DJ30346	DICLOFENAC GEL 1%
DJ30347	RELEEV
DJ30349	ROSIDEN GEL
DJ30401	VOLTAREN EMUL GEL.
DJ30402	VOLTAREN EMUL GEL.(L)
DJ30604	MUSCLEGARD HERBAL OINTMEN
DJ30701	WINTOGENO
DJ30721	WINTERPAN CREAM
DJ30722	FLANIL CREAM 30G
DJ30724	WINCREAM
DJ60203	MAHANARAYANA OIL
DJ60204	JEEWAKA VATA THAILAYA
DJ60205	JEEWAKA VATA THAILAYA
DJ60207	GINIRAJA OIL
DJ60208	OSUNIMA SANDI THAILAYA
DJ60212	JEEWAKA VATA THAILAYA
DJ60214	GINIRAJA OIL
DJ60227	BARAKA JOINT EASE OIL
DJ60229	GINIRAJA OIL
DJ60237	HANDI OIL-R'PURA
DJ70102	WINSPRAY
DJ70204	UNIREN SPRAY
DJ70205	DYNAPAR QPS
DJ70401	GINIRAJA SPRAY
DJE0003	MYOREL 10MG
DJE0004	ALOE SHAMAK GEL
DJE0005	VOLTAREN SUPPO. 100MG
DJE0007	ARTHODAC 100MG
DJE0012	DEEP HEAT RUB PLUS
DJE0016	DOLOWIN-SR
DJE0019	SIDDHALEPA PAIN RELIEF SPRAY
DJE0021	FASTUM GEL
DJE0023	SETHSUWA MAHA MASHADEE OIL
DJE0025	BARAKA JOINTEASE SPRAY
DJE0026	NO PAIN - PAIN KILLER SPRAY
DJE0027	NO PAIN - PAIN KILLER SPRAY
DJE0028	ASTHIJEEWA OIL+MASSAGE BALL 
DJE0029	SPMC DICLOFENAC SODIUM 50MG TABLET
DJE0032	SPMC MEFANAMIC ACID 500MG TABLET
DJE0034	ARJUNA OIL
DJE0035	DEFLAM 50MG TABLET
DJE0036	CHEENADI OIL
DJE0037	SINHARAJA THAILAYA
DJE0038	ORTHO SHIELD JOINT PAIN RELIEVER
DJE0039	WINTOGEL CREAM
DJE0040	ZERODOL 100MG TABLET
DJE0041	CRAMPGARD PLUS CREAM
DJE0042	CARTIFIT FORTE GEL
DJE0043	FECK 100MG TABLET
DJE0044	ETOGET 60MG TABLET
DJE0045	ETOGET 90MG TABLET
DJE0046	DICLOSAN DR 50MG TABLET
DJE0048	MOOV SPRAY 35G + 40% FREE
DJE0049	FEBULAS 40MG TABLET
DJE0050	IODEX RAPID ACTION SPRAY
DJE0051	ACLOFEN 100MG TABLET
DL10405	DORMICUM TABS. 7.5MG
DL10506	NITREST 10MG TABLET
DL10801	LEXOTAN 1.5MG TABLETS
DL10901	LIBRAX TABLETS
DL11401	AMITRIPTYLLIN 25MG TAB.SP
DL11407	MIRTAZ 15MG TABLET
DL11408	AMILEB 10MG TABLET
DL11501	TRYPTANOL 25MG TABLET
DL11802	MULAX -2
DL12211	ASTRIX CAPSULES 100MG.
DL12505	RAPISOL TABLETS
DL12521	SPMC PARACETAMOL 500MG TABLET
DL12524	SPMC PARACETAMOL 500MG BLISTER TABLET
DL13002	PANADOL TABLETS 500MG.
DL13201	BETASERC 8MG
DL13202	BETASERC 16MG TABLETS
DL13204	B-HIST 8MG
DL13205	BETASERC 24MG
DL13805	VENIZ XR 37.5MG CAPSULE
DL13806	VENIZ XR 75MG TABLET
DL13809	ZOTRAL 50
DL13811	NEXITO 10MG TABLET
DL13812	CITOPAM 10MG TABLET
DL13815	DUZELA 20MG CAPSULE
DL13816	DUZELA 30MG CAPSULE
DL13901	FRISIUM 10MG TABLET
DL13902	CLOBAS 5MG TABLET
DL14201	PANADEINE TABLETS
DL14202	# RAPIDENE TABLETS
DL14404	GABA 300MG
DL14408	GABLIN 75MG
DL14411	GABA - 100
DL14412	GABICA 50MG
DL14413	REGALIN 75MG
DL14414	GABICA 100MG
DL14417	GABAPENTIN 300MG
DL14422	MAXGALIN 75MG CAPSULE
DL14423	PREGAB 75MG CAPSULE
DL14425	GABANIN 100MG CAPSULE
DL14705	FLUNARIN 5MG. TABLETS
DL14706	FLUDAN 5MG TABLETS.
DL14715	FLUNARIN 10MG
DL14901	SODIUM VALPROATE TAB.-SPC
DL15007	TOPIROL 25MG TABLET
DL15008	TOPIROL 50MG TABLET
DL15009	TOPIRAMATE 25MG
DL15101	RIVOTRIL 0.5MG
DL15102	AMITRIPTYLINE TAB 10MG-SP
DL15301	BENZHEXOL TABS 2MG SPC
DL15501	VALPARINE
DL15502	VALPARIN CHRONO 300MG.TABS.
DL15503	VALPARIN CHRONO 500MG
DL15504	ENCORATE CHRONO 200MG TABLET
DL15506	LEVIPIL 250MG TABLET
DL15507	LAMOSYN 25MG TABLET
DL15510	LEVITOZ 500MG
DL15801	MEDOPAR 250MG TABLET
DL15901	SYNDOPA 275MG TABLET
DL15902	ROPARK 0.5MG TABLET
DL15903	ROPARK 0.25MG TABLET
DL15912	CITICOL 500MG
DL15917	SYNDOPA CR TABLET
DL15918	SYNDOPA PLUS TABLET
DL16101	PRODEP TABLET
DL16102	FLUDAC 20MG CAPSULE
DL16109	RISNIA 2MG
DL16601	EPTOIN TABLETS.100MG.
DL17102	CARBATOL CR 200MG TABLET
DL17106	CARBAMAZEPINE 200MG
DL17201	SPMC CARBAMAZEPIN 200MG TABLET
DL18001	DONZIL 5
DL23003	PANADOL LIQUID 100ML
DL23009	RAPISOL SYRUP
DLE0002	B-HIST 16MG
DLE0003	LEVIPIL 500MG TABLET
DLE0004	OLEANZ 5MG TABLET
DLE0006	PARACETAMOL 500MG SPMC BL/TABS
DLE0010	ZENBER DR 20MG CAPSULE
DLE0011	ZENBER 30MG CAPSULE
DLE0012	ZENBER DR 60MG CAPSULE
DLE0018	TORLEVA 500MG
DLE0020	KALCETAM 800MG
DLE0025	RELIVIUM 5MG
DLE0026	COSAMIDE 100
DLE0027	COSAMIDE 50
DLE0030	ZOLAN 2.5MG TABLET
DLE0031	ADMENTA 5MG TABLET
DLE0032	TORLEVA 750MG TABLET
DLE0034	MSJI PARACETAMOL SOLUTION  
DLE0037	PANADOL 500MG TABLET BULK
DLE0038	GABICA 150MG CAPSULE
DLE0039	TOPIRAM 25MG TABLET
DLE0040	TOPIRAM 50MG TABLET
DLE0041	OLANDUS 5MG TABLET
DLE0042	SERLIN 50MG TABLET
DLE0044	MAXTIL 5MG TABLET
DLE0045	ZOSERT 50MG TABLET
DLE0046	QUETIPIN 100MG TABLET
DLE0047	RITALIN 10MG TABLET
DLE0048	VENAFAX XR 37.5MG CAPSULE
DLE0049	VENAFAX XR 75MG CAPSULE
DLE0050	EPIPIL 250MG TABLET
DLE0051	EPIPIL 500MG TABLET
DLE0052	GABANIN 300MG CAPSULE
DLE0053	ACE 125MG SUPPOSITORY
DLE0054	ACE 250MG SUPPOSITORY
DLE0055	MORCET 10MG TABLET
DLE0056	MORCET 20MG TABLET
DLE0057	QUTIPIN 25MG TABLET  (50S)
DLE0058	BETAGEN 16MG TABLET
DLE0059	DULOGEN DR 30MG CAPSULE
DLE0060	MELO 3MG TABLET
DLE0061	RESPIGEN 2MG TABLET
DLE0062	VALOGEN 200MG TABLET
DLE0063	MELDOL 500MG TABLET
DLE0064	ACE 500MG SUPPOSITORY
DM10702	NOLVADEX D TABLETS
DM10703	LETOV 2.5MG
DM10806	FINAST 5MG TABLET
DM10807	FINASTERIDE 5MG
DM11001	METHOTREXATE(SPC)2.5MG TAB.
DME0002	DUPROST 0.5MG
DME0003	ARIMIDEX 1MG
DN01001	NORMAL SALINE INFUSION.
DN01102	SPMC 25% GLUCOSE INTRAVENOUS INFUSION
DN01103	SPMC 50% GLUCOSE INTRAVENOUS INFUSION
DN04001	WATER FOR INJECTION
DN10506	ZIFOL-12 CAPSULES
DN10507	FERROVIT CAPSULES.
DN10509	OROFER CAPSULE
DN10609	FA 1
DN10610	FOLEE - 1MG TABLET
DN10713	MENOPACE
DN10714	WELL WOMEN
DN10715	WELL MAN
DN10719	WELLWOMAN 50+
DN10720	WELLMAN 50+
DN10722	WELLTEEN HIM TABLET
DN10724	WELLKID MULTI-VITAMIN TABLET
DN10802	NERVIJEN CAPSULES
DN10811	NERVIGEN D
DN10813	LIVOX CAPSULE 30S
DN11603	S/S COD LIVER OIL CAP.OD
DN11811	CALCIVITA CAPSULE
DN11812	CALCIVITA FORTE CAPSULE
DN11815	CARTISAFE FORTE 500MG.TAB
DN11835	BARAKA JOINT SAFE CAPSULE 30S
DN11836	CARTICARE TABLETS
DN11838	NUFLAM CAPSULES
DN11839	OSTEOCARE TABLET
DN11840	JOINTACE TABLET
DN11851	JOINTEEZ
DN12102	VITAMIN B COMPLEX CHF TAB
DN12105	SPMC VITAMIN B COMPOUND STRONG TABLET
DN12107	NAT B TABLET
DN12202	BECOSULES CAPSULES
DN12206	BECOM - C
DN12301	ENERVON C TABLETS
DN12305	OBIMIN FILM TABLETS
DN12306	ZEGAVIT TABLETS
DN12602	ONE ALPHA 0.25MCG
DN12606	NEUROBION TABLET
DN12608	NEUROSANBE TABLETS
DN12612	NEUROTONE TABLET
DN12613	NERVEX - BT
DN12615	CAD-D 1000 TABLET
DN12616	CAD-D 5000 TABLET
DN12621	1000 D
DN12704	OSTEOFOS 70MG
DN12709	ALDREN 70MG TABLET 4'S
DN12901	BECOZINC CAPSULE
DN13106	ZINCOVIT TABLETS 30'S
DN13205	MINTERRA
DN13211	MULTIBIONTA - M CAPSULE
DN13302	ANEMIDOX CAPSULE
DN13304	FERUP CAPSULES
DN13401	OVRON CAPSULES
DN13402	PREGNACARE CAPSULE
DN13705	C-TABS 100MG
DN13711	XON CE TABLETS 500MG
DN13718	CEE ORANGE
DN14102	EVION 200MG CAPSULE
DN14103	EVION 400MG CAPSULE
DN14104	EVION 600MG CAPSULE
DN14209	ENAT 400 CAPSULES.
DN14801	FORCEVAL CAPSULES
DN15116	LIA GOLD
DN15601	KARAWILA CAPSULE
DN15602	WALPENALA CAPSULE
DN15603	GOTUKOLA CAPSULE
DN15604	KARAPINCHA CAPSULE
DN15605	PITAWAKKA CAPSULE
DN15607	BARAKA GARLICHOL CAPSULE 30S 
DN15610	SLIMEXOL CAPS
DN15615	BARAKA KARAPINCHA+ CAPSULE
DN15616	BARAKA VIREGA+ CAPSULE
DN15622	ORBIT GARCINIA CAPS 90'S
DN15623	BARAKA GASTRICARE CAPSULE 60S
DN15626	BARAKA DIABSOL ADVANCE
DN15634	TURMERIC CAPSULE
DN15635	BARAKA MEMO+ CAPSULE 60S
DN15636	BARAKA GOTUKOLA+ CAPSULE 60S
DN15637	BARAKA CODSEAS CAPSULE 60S
DN15638	BARAKA KARAWILA+ CAPSULE 60S
DN16001	SENATOGEN PLUS CAPSULE
DN16101	BIOTIN CAPSULES
DN16106	BIONA TABLETS
DN16109	BEAUTINE
DN16503	PRIM E 1000MG CAPSULES
DN16507	E.P.O.+ STARFLOWER OIL CAPSULE
DN16831	GINSOMIN CAPSULES
DN17016	MAXEPA CAPSULE
DN17302	XENICAL 120MG CAPSULES
DN17303	ORLIFIT 120MG
DN17304	ORSLIM
DN17504	VITACAPS CAPSULES
DN17512	MEGAVIT TABLETS
DN17519	ZINCOFER
DN17522	AVITONE TABLETS
DN17532	PERFECTIL PLATINUM
DN17534	FACIA PREMIUM CAPSULE
DN17602	PULSE TRI-OMEGA FISH CAPS
DN18003	CAR - Q
DN18601	REJUCALCIUM TABLET
DN18602	KALZANA TAB
DN18603	CALCIUM LACTATE TABLETS.
DN18604	CALCI D TABS
DN18605	PERFECTIL CAP'S
DN18609	KALZANA BLISTER
DN18617	MOMCAL
DN20104	GARLIC WITH BEE HONEY
DN21702	GROVIT SYRUP.
DN22601	POLYBION SYRUP
DN22701	DUROL ADULTS
DN22803	OROFER SYRUP
DN22805	MUMFER SYRUP 150ML
DN22902	BECOSUL SYRUP 200ML
DN22904	VITALISE MULTIVITAMIN SYRUP.
DN22905	ZINCOVIT SYRUP 200ML
DN23003	GLOW COLLAGEN
DN26010	PRANAJEEWA OIL 180ML
DN26012	PRANAJEEWA OIL
DN40210	GLUCOSE 100G.
DN40211	GLUCOSE M
DN40217	SLIM GREEN TEA
DN40218	SLIMFAST TEA
DN40232	SANGSU FAT BURNER
DN40239	SIDDHI HERBAL SLIMMING TEA
DN40262	SOBADA KOTHALA HIMBUTU
DN40263	SOBADA VENIVEL GETA
DN40264	SOBADA POLPALA
DN40265	SOBADA BELI GETA MADA
DN40266	SOBADA BELIMAL
DN40267	SOBADA RANAWARA MAL
DN40268	SOBADA AYURVEDA DASA PANGUWA
DN40271	SANGSU DIABETIC TEA
DN40272	SUGAR BLOCKER
DN40273	DIGAYU
DN40277	MASBEDDA MINT DIABETEA
DN40279	BEAM KOTHALA HIBUTU TEA
DN41201	ENSURE MILK POWDER VAN
DN41214	RESOURCE POWDER-DIABETIC
DN41217	SUSTACAL 400G
DN41218	ISOCAL
DN41220	GLUCERNA - SR POWDER 400G.
DN41229	PEDIASURE POWDER TIN VANILLA
DN41249	PROGAIN
DN41250	PEPTAMEN
DN41263	PEDIASURE VANILATIN COMBO 400G
DN41269	NUTRAGEN REGULAR
DN46004	PROTINEX (IMPORTED)180G
DN46009	PROTINEX LIFE 400G
DN46016	ACTION NUTRITIONAL P.(VANILA).
DN46019	ADVANCED WEIGHT GAINER
DN46021	**APPETON WEIGHT GAIN ADULT
DN46035	DIASURE DIABETIC VANILLA MILK POWDER
DN46037	VITAGEN
DN46041	DIABETASOL
DN46043	ACTION NUTRI.POWDER(CHOCOLATE)
DN46045	PROTINEX LIFE CHO
DN46055	DIABETASOL VAN TIN
DN46113	PASPANGUWA - LINK
DN46114	SAMAHAN (LINK) 30
DN46118	LINK SAMAHAN 100
DN46119	SAMAHAN ( LINK) 10'S
DN46120	PASPANGUWA BANDED 3
DN46125	BEAM SUWODA PEYAWA
DN46130	SLADC SUWASETHA PASPANGUWA
DN46131	LINK SWASTHA AMURTHA 7S
DN50101	ZINCOVIT DROPS 15ML
DN50402	GROVIT DROPS.
DN50405	OROFER DROP
DNE0011	MENOFEM
DNE0014	ALARIS GLA 120
DNE0016	CALTAMIN PLUS
DNE0017	GARLIC AND BEE HONEY
DNE0018	CALTAMIN D
DNE0024	SIDDHI MEN FAT BURNER HERBAL TEA
DNE0025	ORBIT GARLIC IN BEE HONEY
DNE0028	ORBIT CINNAMON TEA
DNE0029	ORBIT GARCINIA TEA
DNE0031	ALOE VERA EXTRACT
DNE0032	SOBADA VENIVEL GETA POWDER
DNE0033	SOBADA MURUNGA LEAVES POWDER
DNE0035	NATURALLE FISH OIL 1000MG
DNE0036	AYUR CARDIO CAPSULE 50S
DNE0037	AYUR DETOX CAPSULE 50S
DNE0038	AYUR FILTER CAPSULE 50S
DNE0039	AYUR NERV CAPSULE 50S
DNE0040	AYUR FRESH CAPSULE 50S
DNE0041	AYUR ALERT CAPSULE 50S
DNE0042	AYUR COLD CAPSULE 50S
DNE0044	VITRA MAMA
DNE0050	VITRA A-Z TABLET
DNE0089	BARAKA EASY SLIM CAPSULE 40S 
DNE0090	S/S MVT SYRUP WITH CLO
DNE0091	VITRITE COMPLETE
DNE0092	VITRITE-PLUS
DNE0093	NATURRA FAT BURNING TEA
DNE0100	S/S LIVOPRO
DNE0117	URISOL 10'S
DNE0121	PROTINEX GOLD
DNE0126	TRIFER DROPS
DNE0131	ENTRASOL PLATINUM VAN
DNE0133	CAD-D 2000 TABLET
DNE0151	COSTAR EPO 1000MG
DNE0152	PRINCIPLE WOMAN
DNE0153	PRINCIPLE MAN
DNE0154	PRINCIPLE MEGA MAX 1000MG
DNE0157	CARTICARE CS
DNE0163	PRINCIPLE CALMAX 30'S
DNE0165	PRINCIPLE FLEXIMAX
DNE0166	NAT-C ESTER
DNE0167	PRANAJEEWA 500MG BLISTER
DNE0171	D-TABS 1000 TABLET
DNE0172	IMMUNO START
DNE0173	IMMUNO PLUS
DNE0174	NATOCARE
DNE0178	PRANAJEEWA SUWA DHARANI
DNE0187	S-26 GOLD SMA 1
DNE0188	S-26 GOLD SMA 2
DNE0189	S-26 GOLD PROGRESS 3
DNE0193	DEPLUS 1000
DNE0194	DEPLUS 2000
DNE0195	DIASURE DIABETIC VANILLA MILK POWDER
DNE0197	NU-D3 1K CAPSULE
DNE0219	CELLIFE E 400 CAPSULE
DNE0220	CELLIFE GINSENG 500MG CAPSULE
DNE0221	SIDDHALEPA LIV-PRO CAPSULES 60'S
DNE0227	PRANAJEEWA SUWADHARANI TEA 20S
DNE0229	SETHSUWA FAST SHAPE-UP 20S
DNE0230	SETHSUWA GASTRO CURE 20S
DNE0232	PRINCIPLE 50+ TABLET
DNE0234	PEPTOGEN
DNE0236	GLUCON D - NIMBU PANI
DNE0237	CELLIFE SKIN HAIR NAILS TABLET
DNE0241	BEES LINE HEENBOVITIYA CAPSULE
DNE0242	BEES LINE PAPAYA LEAVES CAPSULE
DNE0244	BEES LINE MARGOSA CAPSULE
DNE0249	PRINCIPLE IMMUNE+ TABLET 20S
DNE0270	GSK BUTTERFLY PEA FLOWER DRINK
DNE0271	GSK ATALANTIA CEYLANICA DRINK
DNE0274	HELAYU KATUPILA TEA 20'S
DNE0276	HELAYU MORINGA TEA 20'S
DNE0277	HELAYU BELIMAL TEA 20'S
DNE0278	HELAYU RANAWARA TEA 20'S
DNE0279	SOBADA KARAPINCHA LEAVES POWDER
DNE0280	SOBADA BLACK SEEDS
DNE0282	GSK CURRY LEAVES DRINK
DNE0283	GSK BELI FLOWER DRINK
DNE0288	BEAM RANAWARA TEA 20'S
DNE0289	BEAM BELIMAL TEA 20'S
DNE0290	BEAM IRAMUSU TEA 20'S
DNE0291	BEAM NELLI RASAKINDA TEA 20'S
DNE0293	PRINCIPLE MEGA MAX FORTE 1500MG CAP
DNE0295	NUTRIKIDS SYRUP 
DNE0296	S/S PULSE ORIGINAL PURE FISH OIL CAPSULE
DNE0299	NUTRICAN
DNE0300	CLIF CLIMACTERIC-AID CAPSULE 60S
DNE0302	BIONA TABLETS 30S BANDED
DNE0303	OPTIFLEX TABLET
DNE0304	CLIF COLLAGEN NATURAL CAPSULE 60S
DNE0305	CLIF NATURAL LIBIDO ENHANCER CAPSULE 60S
DNE0306	SPMC SODIUM CHLORIDE 0.9% INFUSION
DNE0307	SODIUM CHLORIDE 0.9% INFUSION
DNE0308	FADNA SHAPE UP TEA 15S SMART PACK
DNE0309	FADNA TUMMY TEA 15S SMART PACK
DNE0310	AUSSIESUPPS FISH OIL 1000 CAPSULE 30S
DNE0311	COSTAR OMEGA-3 1000MG CAPSULE
DNE0312	GLUCON D - REGULAR
DNE0313	CINNAMON CAPSULE
DNE0314	MORINGA CAPSULE
DNE0315	DIABETASOL TIN ALMOND
DNE0316	ENTRASOL PLATINUM BUNDLE VANILA 400G
DNE0317	KOSDA CARTIFIT FORTE CAPSULE
DNE0319	PRINCIPLE EVERYDAY FISH OIL 1000MG CAPSULE
DNE0320	PRINCIPLE EVERYDAY NATURAL COD LIVER OIL CAPSULE
DNE0321	PRINCIPLE PRIMRITE CAPSULE
DNE0322	PRINCIPLE GINKGO-C TABLET
DNE0324	FADNA BITTERGOURD TEA 10S
DNE0325	SIDDHALEPA SLIM TEA 25S
DNE0326	SIDDHALEPA BREATHE TEA 25S
DNE0327	SIDDHALEPA INTELLECT TEA 25S
DNE0328	SIDDHALEPA SERENE TEA 25S
